 INFO 23:50:51,409 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -459 PV (Terre) (Retour de dague)
 INFO 23:50:51,409 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Bombe Paralysante: n'est plus sous l'emprise de 'Retour de dague'
 INFO 23:50:51,411 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -459 PV (Terre) (Retour de dague)
 INFO 23:50:51,411 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: n'est plus sous l'emprise de 'Retour de dague'
 INFO 23:50:51,412 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy lance le sort Détonation
 INFO 23:50:52,111 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -706 PV (Feu) (Bombe collante)
 INFO 23:50:52,112 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -705 PV (Feu) (Bombe collante)
 INFO 23:50:52,115 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -232 PV (Feu) (Bombe immolante)
 INFO 23:50:52,116 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -232 PV (Feu) (Bombe immolante)
 INFO 23:50:52,415 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: 1 PW
 INFO 23:50:52,416 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: 1 PA (Bomber Fan)
 INFO 23:50:52,418 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -405 PV (Air) (Bombe aveuglante)
 INFO 23:50:52,419 [AWT-EventQueue-0] (aPV:174) - [Information (jeu)] Le challenge "Séisme" a échoué.
 INFO 23:50:52,714 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: 1 PW
 INFO 23:50:52,715 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: 1 PA (Bomber Fan)
 INFO 23:50:52,716 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: -646 PV (Terre) (Bombe paralysante)
 INFO 23:50:52,717 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -898 PV (Terre) (Bombe paralysante)
 INFO 23:50:52,816 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Bombe Immolante est hors-combat !
 INFO 23:50:53,017 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: 1 PA (Bomber Fan)
 INFO 23:50:53,117 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Bombe Aveuglante est hors-combat !
 INFO 23:50:53,420 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Bombe Paralysante est hors-combat !
 INFO 23:50:57,042 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy lance le sort Pulsar
 INFO 23:50:59,557 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -1 004 PV (Terre) (Pulsar II)
 INFO 23:50:59,557 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: n'est plus sous l'emprise de 'Pulsar'
 INFO 23:51:02,487 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] 30 secondes reportées pour le tour suivant.
 INFO 23:51:02,575 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: 1 PW
 INFO 23:51:04,084 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique lance le sort Coup de Boule (Critiques)
 INFO 23:51:04,692 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: -46 PV (Eau)
 INFO 23:51:04,693 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: 1 PM
 INFO 23:51:07,000 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique lance le sort Coup de Boule (Critiques)
 INFO 23:51:07,609 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: -0 PV (Eau)
 INFO 23:51:07,610 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: 1 PM
 INFO 23:51:12,637 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy lance le sort Balise d'alignement
 INFO 23:51:13,242 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Invoque un(e) Balise d'Alignement
 INFO 23:51:13,242 [AWT-EventQueue-0] (eXG:105) - Instanciation d'une nouvelle invocation avec un id de -1724034217588043
 INFO 23:51:13,243 [AWT-EventQueue-0] (faw:1405) - [_FL_] fightId=1568189063 Balise d'Alignement breed : 3798 [-1724034217588043] isControlledByAI=true obstacleId : 5 join the fight at {Point3 : (-26, -24, 0)}
 INFO 23:51:13,253 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: n'est plus sous l'emprise de 'Balise affûtée'
 INFO 23:51:24,210 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy lance le sort Roulade
 INFO 23:51:24,911 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: se téléporte
 INFO 23:51:25,818 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: 1 PM
 INFO 23:51:28,434 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy lance le sort Tir précis
 INFO 23:51:29,642 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Tir précis (Niv. 1)
 INFO 23:51:29,644 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Affûtage (+140 Niv.) (Esprit Affûté)
 INFO 23:51:29,644 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: 1 PW
 INFO 23:51:29,646 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: La Pointe affûtée est prête !
 INFO 23:51:29,647 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Balise affûtée (+2 Niv.)
 INFO 23:51:29,648 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: 2 PA (Parti pris)
 INFO 23:51:29,650 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: -2 PM max (Parti pris)
 INFO 23:51:30,249 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy lance le sort Balise de destruction
 INFO 23:51:30,853 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Invoque un(e) Balise de Destruction
 INFO 23:51:30,853 [AWT-EventQueue-0] (eXG:105) - Instanciation d'une nouvelle invocation avec un id de -1724034217587926
 INFO 23:51:30,854 [AWT-EventQueue-0] (faw:1405) - [_FL_] fightId=1568189063 Balise de Destruction breed : 3800 [-1724034217587926] isControlledByAI=true obstacleId : 6 join the fight at {Point3 : (-27, -26, 0)}
 INFO 23:51:30,863 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: n'est plus sous l'emprise de 'Balise affûtée'
 INFO 23:51:36,284 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy lance le sort Flèche explosive
 INFO 23:51:37,695 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -937 PV (Feu) (Balise de destruction)
 INFO 23:51:37,696 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -1 064 PV  (Feu) (Balise de destruction)
 INFO 23:51:37,697 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -2 571 PV  (Feu) (Parade !) (Tir précis)
 INFO 23:51:38,199 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -936 PV (Feu) (Balise d'alignement)
 INFO 23:51:38,199 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -2 827 PV (Feu) (Tir précis)
 INFO 23:51:38,201 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Affûtage (+100 Niv.)
 INFO 23:51:38,201 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: 1 PW
 INFO 23:51:38,203 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: La Pointe affûtée est prête !
 INFO 23:51:38,203 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Balise affûtée (+2 Niv.)
 INFO 23:51:38,205 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Consomme Pointe affûtée
 INFO 23:51:38,397 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique est hors-combat !
 INFO 23:51:40,409 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy lance le sort Flèche explosive (Critiques)
 INFO 23:51:41,817 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -1 615 PV (Feu) (Balise de destruction)
 INFO 23:51:41,819 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -4 846 PV (Feu) (Tir précis)
 INFO 23:51:42,319 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -1 615 PV (Feu) (Balise d'alignement)
 INFO 23:51:42,520 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique est hors-combat !
 INFO 23:51:42,722 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Affûtage (+60 Niv.)
 INFO 23:51:42,723 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Consomme Pointe affûtée
 INFO 23:51:42,724 [AWT-EventQueue-0] (aPV:174) - [Information (jeu)] Vous avez gagné 237 kamas.
 INFO 23:51:42,724 [AWT-EventQueue-0] (aPV:174) - [Information (jeu)] Vous avez gagné 256 kamas.
 INFO 23:51:42,724 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy : +63 675 324 points d'XP.  Prochain niveau dans : 186 559 006.
 INFO 23:51:42,725 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy : +9 582 905 points d'XP.  Prochain niveau dans : 1 463 414 217.
 INFO 23:51:42,732 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Combat terminé, cliquez ici pour rouvrir l'écran de fin de combat.
 INFO 23:51:42,743 [AWT-EventQueue-0] (aWF:91) - [FIGHT] End fight with id 1568189063
